,Incident Summary,State,Open Date
457,HSCN - Internet Outage,Closed,24-Aug-2023 09:45
458,HSCN - Internet Outage,Closed,24-Aug-2023 09:44
459,HSCN - Internet Outage,Closed,23-Aug-2023 17:53
460,HSCN - Internet Outage,Closed,23-Aug-2023 17:21
461,HSCN - Slow / Degraded Performance,Closed,23-Aug-2023 15:52
462,HSCN - Slow / Degraded Performance,Closed,23-Aug-2023 15:43
463,HSCN - Slow / Degraded Performance,Closed,23-Aug-2023 13:58
464,HSCN - Internet Outage,Closed,23-Aug-2023 10:23
465,HSCN - Internet Outage,Closed,23-Aug-2023 10:21
466,HSCN - Slow / Degraded Performance,Closed,22-Aug-2023 11:59
467,HSCN - Internet Outage,Closed,22-Aug-2023 11:26
468,HSCN - Internet Outage,Closed,22-Aug-2023 11:08
469,HSCN - Internet Outage,Closed,22-Aug-2023 09:25
470,HSCN - Internet Outage,Closed,22-Aug-2023 09:16
471,HSCN - Internet Outage,Closed,22-Aug-2023 08:36
472,HSCN - Internet Outage,Closed,22-Aug-2023 08:34
473,HSCN - Internet Outage,Closed,22-Aug-2023 08:32
474,HSCN - Internet Outage,Closed,21-Aug-2023 15:52
475,HSCN - Internet Outage,Closed,21-Aug-2023 12:52
476,HSCN - Internet Outage,Closed,21-Aug-2023 12:47
477,HSCN - Internet Outage,Closed,21-Aug-2023 11:57
478,HSCN - Intermittent Outage,Closed,21-Aug-2023 10:33
479,HSCN - Internet Outage,Closed,21-Aug-2023 10:00
480,HSCN - Internet Outage,Closed,21-Aug-2023 09:54
481,HSCN - Internet Outage,Closed,21-Aug-2023 09:53
482,HSCN - Internet Outage,Closed,21-Aug-2023 08:15
483,HSCN - Internet Outage,Closed,21-Aug-2023 08:12
484,HSCN - Intermittent Outage,Closed,21-Aug-2023 08:11
485,HSCN - Intermittent Outage,Closed,19-Aug-2023 08:34
486,HSCN - Internet Outage,Closed,19-Aug-2023 08:33
487,HSCN - Internet Outage,Closed,18-Aug-2023 16:45
488,HSCN - Intermittent Outage,Closed,18-Aug-2023 16:30
489,HSCN - Internet Outage,Closed,18-Aug-2023 16:12
490,HSCN - Internet Outage,Closed,18-Aug-2023 15:52
491,HSCN - Intermittent Outage,Closed,18-Aug-2023 15:48
492,HSCN - Intermittent Outage,Closed,18-Aug-2023 15:44
493,HSCN - Internet Outage,Closed,18-Aug-2023 14:18
494,HSCN - Slow / Degraded Performance,Closed,18-Aug-2023 13:03
495,HSCN - Internet Outage,Closed,18-Aug-2023 11:33
496,HSCN - Internet Outage,Closed,18-Aug-2023 11:31
497,HSCN - Internet Outage,Closed,18-Aug-2023 11:29
498,HSCN - Intermittent Outage,Closed,18-Aug-2023 11:28
499,HSCN - Internet Outage,Closed,18-Aug-2023 11:27
500,HSCN - Internet Outage,Closed,18-Aug-2023 10:48
501,HSCN - Internet Outage,Closed,18-Aug-2023 08:04
502,HSCN - Internet Outage,Closed,17-Aug-2023 18:24
503,HSCN - Intermittent Outage,Closed,17-Aug-2023 09:21
504,HSCN - Slow / Degraded Performance,Closed,16-Aug-2023 17:02
505,HSCN - Internet Outage,Closed,16-Aug-2023 16:09
506,HSCN - Internet Outage,Closed,16-Aug-2023 12:27
507,HSCN - Slow / Degraded Performance,Closed,16-Aug-2023 11:34
508,HSCN - Internet Outage,Closed,16-Aug-2023 10:09
509,HSCN - Internet Outage,Closed,16-Aug-2023 09:09
510,HSCN - Slow / Degraded Performance,Closed,15-Aug-2023 16:15
511,HSCN - Internet Outage,Closed,15-Aug-2023 15:29
512,HSCN - Internet Outage,Closed,15-Aug-2023 15:24
513,HSCN - Internet Outage,Closed,15-Aug-2023 15:20
514,HSCN - Internet Outage,Closed,15-Aug-2023 12:29
515,HSCN - Slow / Degraded Performance,Closed,15-Aug-2023 11:59
516,HSCN - Internet Outage,Closed,15-Aug-2023 11:16
517,HSCN - Internet Outage,Closed,15-Aug-2023 11:14
518,HSCN - Slow / Degraded Performance,Closed,15-Aug-2023 10:42
519,HSCN - Intermittent Outage,Closed,15-Aug-2023 09:44
520,HSCN - Internet Outage,Closed,15-Aug-2023 09:11
521,HSCN - Internet Outage,Closed,15-Aug-2023 08:56
522,HSCN - Internet Outage,Closed,14-Aug-2023 14:53
523,HSCN - Intermittent Outage,Closed,14-Aug-2023 11:07
524,HSCN - Internet Outage,Closed,14-Aug-2023 10:39
525,HSCN - Internet Outage,Closed,14-Aug-2023 10:31
526,HSCN - Intermittent Outage,Closed,14-Aug-2023 10:11
527,HSCN - Internet Outage,Closed,14-Aug-2023 09:54
528,HSCN - Internet Outage,Closed,14-Aug-2023 08:19
529,HSCN - Internet Outage,Closed,14-Aug-2023 08:15
530,HSCN - Intermittent Outage,Closed,11-Aug-2023 16:33
531,HSCN - Internet Outage,Closed,11-Aug-2023 14:19
532,HSCN - Internet Outage,Closed,11-Aug-2023 14:16
533,HSCN - Internet Outage,Closed,11-Aug-2023 14:01
534,HSCN - Internet Outage,Closed,11-Aug-2023 13:30
535,HSCN - Internet Outage,Closed,11-Aug-2023 12:24
536,HSCN - Internet Outage,Closed,11-Aug-2023 10:53
537,HSCN - Intermittent Outage,Closed,11-Aug-2023 09:17
538,HSCN - Slow / Degraded Performance,Closed,10-Aug-2023 17:01
539,HSCN - Slow / Degraded Performance,Closed,10-Aug-2023 16:28
540,HSCN - Intermittent Outage,Closed,10-Aug-2023 14:45
541,HSCN - Internet Outage,Closed,10-Aug-2023 14:00
542,HSCN - Internet Outage,Closed,10-Aug-2023 11:18
543,HSCN - Intermittent Outage,Closed,10-Aug-2023 08:50
544,HSCN - Intermittent Outage,Closed,09-Aug-2023 16:29
545,HSCN - Internet Outage,Closed,09-Aug-2023 13:25
546,HSCN - Internet Outage,Closed,09-Aug-2023 12:02
547,HSCN - Internet Outage,Closed,09-Aug-2023 10:35
548,HSCN - Internet Outage,Closed,09-Aug-2023 08:05
549,HSCN - Intermittent Outage,Closed,08-Aug-2023 15:30
550,HSCN - Internet Outage,Closed,08-Aug-2023 13:50
551,HSCN - Internet Outage,Closed,08-Aug-2023 11:05
552,HSCN - Internet Outage,Closed,08-Aug-2023 10:17
553,HSCN - Slow / Degraded Performance,Closed,07-Aug-2023 16:11
554,HSCN - unable to connect,Closed,07-Aug-2023 14:14
555,HSCN - Intermittent Outage,Closed,07-Aug-2023 11:48
556,HSCN - Internet Outage,Closed,07-Aug-2023 10:45
557,HSCN - Intermittent Outage,Closed,07-Aug-2023 09:11
558,HSCN - Intermittent Outage,Closed,07-Aug-2023 09:07
559,HSCN - Internet Outage,Closed,07-Aug-2023 09:03
560,HSCN - Intermittent Outage,Closed,07-Aug-2023 08:39
561,HSCN - Internet Outage,Closed,07-Aug-2023 08:37
562,HSCN - Intermittent Outage,Closed,07-Aug-2023 08:36
563,HSCN - Internet Outage,Closed,07-Aug-2023 08:34
564,HSCN - Slow / Degraded Performance,Closed,04-Aug-2023 15:39
565,HSCN - Intermittent Outage,Closed,04-Aug-2023 11:30
566,HSCN - Internet Outage,Closed,04-Aug-2023 09:18
567,HSCN - Internet Outage,Closed,03-Aug-2023 17:04
568,HSCN - Intermittent Outage,Closed,03-Aug-2023 15:41
569,HSCN - Internet Outage,Closed,03-Aug-2023 10:31
570,HSCN - Internet Outage,Closed,03-Aug-2023 10:13
571,HSCN - Internet Outage,Closed,03-Aug-2023 10:07
572,HSCN - Internet Outage,Closed,03-Aug-2023 10:06
573,HSCN - Intermittent Outage,Closed,03-Aug-2023 10:02
574,C3 - HSCN Network issue,Closed,03-Aug-2023 09:21
575,HSCN - Internet Outage,Closed,03-Aug-2023 09:07
576,HSCN - Internet Outage,Closed,03-Aug-2023 08:24
577,HSCN - Internet Outage,Closed,02-Aug-2023 15:42
578,HSCN - Slow / Degraded Performance,Closed,02-Aug-2023 10:00
579,HSCN - Slow / Degraded Performance,Closed,02-Aug-2023 09:48
580,HSCN - Internet Outage,Closed,02-Aug-2023 09:48
581,HSCN - Internet Outage,Closed,02-Aug-2023 09:12
582,HSCN - Internet Outage,Closed,02-Aug-2023 08:09
583,HSCN - Internet Outage,Closed,01-Aug-2023 10:02
584,HSCN - Internet Outage,Closed,01-Aug-2023 08:23
585,HSCN - Internet Outage,Closed,01-Aug-2023 08:21
586,HSCN - Intermittent Outage,Closed,01-Aug-2023 08:16
587,HSCN - Internet Outage,Closed,31-Jul-2023 15:20
588,HSCN - Internet Outage,Closed,31-Jul-2023 11:33
589,HSCN - Internet Outage,Closed,31-Jul-2023 10:02
590,HSCN - Internet Outage,Closed,31-Jul-2023 08:07
591,HSCN - Internet Outage,Closed,29-Jul-2023 08:38
592,HSCN - Internet Outage,Closed,29-Jul-2023 08:36
593,HSCN - Internet Outage,Closed,28-Jul-2023 16:07
594,HSCN - Slow / Degraded Performance,Closed,28-Jul-2023 15:12
595,HSCN - Intermittent Outage,Closed,28-Jul-2023 14:01
596,HSCN - Internet Outage,Closed,28-Jul-2023 12:15
597,HSCN - Intermittent Outage,Closed,28-Jul-2023 08:34
598,HSCN - Intermittent Outage,Closed,28-Jul-2023 08:32
599,HSCN - Internet Outage,Closed,27-Jul-2023 10:52
600,HSCN - Internet Outage,Closed,27-Jul-2023 08:18
601,HSCN - Internet Outage,Closed,26-Jul-2023 15:32
602,HSCN -  Wrong network,Closed,26-Jul-2023 12:08
603,HSCN - Intermittent Outage,Closed,26-Jul-2023 10:42
604,HSCN - Slow / Degraded Performance,Closed,26-Jul-2023 10:28
605,HSCN - Internet Outage,Closed,26-Jul-2023 09:08
606,HSCN - Internet Outage,Closed,26-Jul-2023 09:06
607,HSCN - Intermittent Outage,Closed,26-Jul-2023 09:01
608,HSCN - Internet Outage,Closed,26-Jul-2023 08:55
609,HSCN - Intermittent Outage,Closed,26-Jul-2023 08:44
610,HSCN - Internet Outage,Closed,26-Jul-2023 08:40
611,HSCN - Internet Outage,Closed,26-Jul-2023 08:38
612,HSCN - Internet Outage,Closed,26-Jul-2023 08:36
613,HSCN - Internet Outage,Closed,26-Jul-2023 08:34
614,HSCN - Intermittent Outage,Closed,26-Jul-2023 08:33
615,HSCN - Internet Outage,Closed,26-Jul-2023 08:31
616,HSCN - Intermittent Outage,Closed,26-Jul-2023 08:28
617,HSCN - Intermittent Outage,Closed,26-Jul-2023 08:26
618,HSCN - Internet Outage,Closed,26-Jul-2023 08:25
619,HSCN - Internet Outage,Closed,26-Jul-2023 08:22
620,HSCN - Degraded Connection,Closed,25-Jul-2023 12:41
621,HSCN - Internet Outage,Closed,25-Jul-2023 10:51
622,HSCN - Intermittent Outage,Closed,25-Jul-2023 10:03
623,HSCN - Internet Outage,Closed,25-Jul-2023 08:44
624,HSCN - Intermittent Outage,Closed,25-Jul-2023 08:42
625,HSCN - Internet Outage,Closed,25-Jul-2023 08:41
626,HSCN - Internet Outage,Closed,25-Jul-2023 08:39
627,HSCN - Internet Outage,Closed,25-Jul-2023 08:36
628,HSCN - Internet Outage,Closed,25-Jul-2023 08:34
629,HSCN - Intermittent Outage,Closed,25-Jul-2023 08:30
630,HSCN - Internet Outage,Closed,25-Jul-2023 08:30
631,HSCN - Intermittent Outage,Closed,25-Jul-2023 08:28
632,HSCN - Internet Outage,Closed,25-Jul-2023 08:27
633,HSCN - Intermittent Outage,Closed,25-Jul-2023 08:25
634,HSCN - Internet Outage,Closed,25-Jul-2023 08:23
635,HSCN - Internet Outage,Closed,25-Jul-2023 08:21
636,HSCN - Slow / Degraded Performance,Closed,24-Jul-2023 16:10
637,HSCN - Internet Outage,Closed,24-Jul-2023 15:33
638,HSCN - Internet Outage,Closed,24-Jul-2023 15:25
639,HSCN - Internet Outage,Closed,24-Jul-2023 12:34
640,HSCN - Intermittent Outage,Closed,24-Jul-2023 11:06
641,HSCN - Internet Outage,Closed,24-Jul-2023 09:03
642,HSCN - Internet Outage,Closed,24-Jul-2023 08:58
643,HSCN - Internet Outage,Closed,24-Jul-2023 08:57
644,HSCN - Intermittent Outage,Closed,24-Jul-2023 08:55
645,HSCN - Internet Outage,Closed,24-Jul-2023 08:53
646,HSCN - Internet Outage,Closed,24-Jul-2023 08:50
647,HSCN - Internet Outage,Closed,24-Jul-2023 08:47
648,HSCN - Intermittent Outage,Closed,24-Jul-2023 08:44
649,HSCN - Intermittent Outage,Closed,24-Jul-2023 08:42
650,HSCN - Intermittent Outage,Closed,24-Jul-2023 08:40
651,HSCN - Intermittent Outage,Closed,24-Jul-2023 08:39
652,HSCN - Intermittent Outage,Closed,24-Jul-2023 08:37
653,HSCN - Internet Outage,Closed,22-Jul-2023 12:16
654,HSCN - Internet Outage,Closed,21-Jul-2023 15:43
655,HSCN - Internet Outage,Closed,21-Jul-2023 15:36
656,HSCN - Slow / Degraded Performance,Closed,21-Jul-2023 14:20
657,HSCN - Internet Outage,Closed,20-Jul-2023 12:52
658,HSCN - Internet Outage,Closed,20-Jul-2023 11:12
659,HSCN - Internet Outage,Closed,20-Jul-2023 09:24
660,HSCN - Intermittent Outage,Closed,19-Jul-2023 17:39
661,HSCN - Intermittent Outage,Closed,18-Jul-2023 12:47
662,HSCN - Internet Outage,Closed,15-Jul-2023 09:59
663,HSCN - Internet Outage,Closed,15-Jul-2023 09:30
664,HSCN - Intermittent Outage,Closed,14-Jul-2023 18:38
665,HSCN - Internet Outage,Closed,14-Jul-2023 18:01
666,HSCN - Internet Outage,Closed,14-Jul-2023 16:56
667,HSCN - Internet Outage,Closed,14-Jul-2023 15:51
668,HSCN - Internet Outage,Closed,14-Jul-2023 14:43
669,HSCN - Internet Outage,Closed,14-Jul-2023 11:07
670,HSCN - Intermittent Outage,Closed,14-Jul-2023 10:26
671,HSCN - Internet Outage,Closed,14-Jul-2023 09:57
672,HSCN - Internet Outage,Closed,14-Jul-2023 09:35
673,HSCN - Intermittent Outage,Closed,14-Jul-2023 09:33
674,HSCN - Internet Outage,Closed,14-Jul-2023 08:30
675,HSCN - Internet Outage,Closed,14-Jul-2023 08:29
676,HSCN - Intermittent Outage,Closed,13-Jul-2023 16:52
677,HSCN - network issue,Closed,13-Jul-2023 15:47
678,HSCN - Intermittent Outage,Closed,13-Jul-2023 13:12
679,HSCN - Internet Outage,Closed,13-Jul-2023 12:39
680,HSCN - Internet Outage,Closed,13-Jul-2023 09:53
681,HSCN - Internet Outage,Closed,13-Jul-2023 08:32
682,HSCN - Internet Outage,Closed,13-Jul-2023 08:30
683,HSCN - Internet Outage,Closed,13-Jul-2023 08:29
684,HSCN - Internet Outage,Closed,13-Jul-2023 08:27
685,HSCN - Internet Outage,Closed,12-Jul-2023 17:07
686,HSCN - Slow / Degraded Performance,Closed,12-Jul-2023 16:07
687,HSCN - Intermittent Outage,Closed,12-Jul-2023 12:44
688,HSCN - Internet Outage,Closed,12-Jul-2023 09:26
689,HSCN - Internet Outage,Closed,11-Jul-2023 12:24
690,HSCN - Internet Outage,Closed,11-Jul-2023 11:49
691,HSCN - Internet Outage,Closed,11-Jul-2023 11:41
692,HSCN - Internet Outage,Closed,11-Jul-2023 11:06
693,HSCN - Internet Outage,Closed,11-Jul-2023 09:55
694,HSCN - Internet Outage,Closed,10-Jul-2023 15:44
695,HSCN - Slow / Degraded Performance,Closed,10-Jul-2023 14:15
696,HSCN - Internet Outage,Closed,10-Jul-2023 11:39
697,HSCN - Internet Outage,Closed,10-Jul-2023 09:35
698,HSCN - Internet Outage,Closed,10-Jul-2023 09:26
699,HSCN - Internet Outage,Closed,10-Jul-2023 09:12
700,HSCN - Internet Outage,Closed,10-Jul-2023 08:37
701,HSCN - Internet Outage,Closed,10-Jul-2023 08:34
702,HSCN - Internet Outage,Closed,10-Jul-2023 08:31
703,HSCN - Internet Outage,Closed,10-Jul-2023 08:29
704,HSCN - Internet Outage,Closed,10-Jul-2023 08:28
705,HSCN - Internet Outage,Closed,10-Jul-2023 08:25
706,HSCN - Internet Outage,Closed,10-Jul-2023 08:23
707,HSCN - Internet Outage,Closed,08-Jul-2023 09:23
708,HSCN - Slow / Degraded Performance,Closed,07-Jul-2023 16:22
709,HSCN - Intermittent Outage,Closed,07-Jul-2023 13:28
710,HSCN - Internet Outage,Closed,07-Jul-2023 12:39
711,HSCN - Internet Outage,Closed,07-Jul-2023 12:35
712,HSCN - Slow / Degraded Performance,Closed,07-Jul-2023 10:06
713,HSCN - Internet Outage,Closed,07-Jul-2023 09:35
714,HSCN - Internet Outage,Closed,07-Jul-2023 09:21
715,HSCN - Internet Outage,Closed,07-Jul-2023 09:00
716,HSCN - Internet Outage,Closed,07-Jul-2023 08:57
717,HSCN - Intermittent Outage,Closed,07-Jul-2023 08:55
718,HSCN - Internet Outage,Closed,07-Jul-2023 08:53
719,HSCN - Internet Outage,Closed,07-Jul-2023 08:50
720,HSCN - Internet Outage,Closed,07-Jul-2023 08:48
721,HSCN - Internet Outage,Closed,07-Jul-2023 08:46
722,HSCN - Internet Outage,Closed,07-Jul-2023 08:45
723,HSCN - Intermittent Outage,Closed,07-Jul-2023 08:43
724,HSCN - Internet Outage,Closed,07-Jul-2023 08:41
725,HSCN - Internet Outage,Closed,07-Jul-2023 08:40
726,HSCN - Slow / Degraded Performance,Closed,06-Jul-2023 14:49
727,HSCN - Slow / Degraded Performance,Closed,06-Jul-2023 13:31
728,HSCN - Internet Outage,Closed,06-Jul-2023 13:17
729,HSCN - Internet Outage,Closed,06-Jul-2023 11:59
730,HSCN - Internet Outage,Closed,06-Jul-2023 11:04
731,HSCN - Intermittent Outage,Closed,06-Jul-2023 08:52
732,HSCN - Intermittent Outage,Closed,06-Jul-2023 08:46
733,HSCN - Internet Outage,Closed,05-Jul-2023 09:50
734,HSCN - Internet Outage,Closed,05-Jul-2023 08:45
735,HSCN - Internet Outage,Closed,05-Jul-2023 08:39
736,HSCN - Internet Outage,Closed,05-Jul-2023 08:37
737,HSCN - Internet Outage,Closed,04-Jul-2023 17:31
738,HSCN - Internet Outage,Closed,04-Jul-2023 14:37
739,HSCN - Internet Outage,Closed,04-Jul-2023 14:04
740,HSCN - Internet Outage,Closed,04-Jul-2023 14:04
741,HSCN - Internet Outage,Closed,04-Jul-2023 10:35
742,HSCN - Internet Outage,Closed,04-Jul-2023 08:45
743,HSCN - Intermittent Outage,Closed,03-Jul-2023 15:14
744,HSCN - Internet Outage,Closed,03-Jul-2023 12:34
745,HSCN - Internet Outage,Closed,03-Jul-2023 12:16
746,HSCN - Internet Outage,Closed,03-Jul-2023 12:13
747,HSCN - Intermittent Outage,Closed,03-Jul-2023 12:08
748,HSCN - Intermittent Outage,Closed,03-Jul-2023 12:05
749,HSCN - Router set up,Closed,03-Jul-2023 11:48
750,HSCN - Intermittent Outage,Closed,03-Jul-2023 10:39
751,HSCN - Intermittent Outage,Closed,03-Jul-2023 09:14
752,HSCN - Internet Outage,Closed,03-Jul-2023 08:55
753,HSCN - Internet Outage,Closed,03-Jul-2023 08:52
754,HSCN - Internet Outage,Closed,03-Jul-2023 08:50
755,HSCN - Internet Outage,Closed,03-Jul-2023 08:48
756,HSCN - Internet Outage,Closed,03-Jul-2023 08:46
757,HSCN - Slow / Degraded Performance,Closed,01-Jul-2023 11:11
758,HSCN - Internet Outage,Closed,30-Jun-2023 17:31
759,HSCN - Slow / Degraded Performance,Closed,30-Jun-2023 15:58
760,HSCN - Internet Outage,Closed,30-Jun-2023 12:04
761,HSCN - Internet Outage,Closed,30-Jun-2023 10:08
762,HSCN - Internet Outage - On 3G,Closed,30-Jun-2023 08:38
763,HSCN - Internet Outage,Closed,30-Jun-2023 08:29
764,HSCN - Slow / Degraded Performance,Closed,29-Jun-2023 16:33
765,HSCN - Slow / Degraded Performance,Closed,29-Jun-2023 15:50
766,HSCN - Internet Outage,Closed,29-Jun-2023 15:11
767,HSCN - Internet Outage,Closed,29-Jun-2023 14:18
768,HSCN - Internet Outage,Closed,29-Jun-2023 14:12
769,HSCN - Internet Outage,Closed,29-Jun-2023 11:41
770,HSCN - Slow / Degraded Performance,Closed,29-Jun-2023 11:11
771,HSCN - Intermittent Outage,Closed,29-Jun-2023 10:20
772,HSCN - Internet Outage,Closed,29-Jun-2023 08:09
773,HSCN - Internet Outage,Closed,29-Jun-2023 08:07
774,HSCN - Internet Outage,Closed,28-Jun-2023 15:33
775,HSCN - Internet Outage,Closed,28-Jun-2023 15:25
776,HSCN - Internet Outage,Closed,28-Jun-2023 13:27
777,HSCN - Intermittent Outage,Closed,28-Jun-2023 13:22
778,HSCN - Internet Outage,Closed,28-Jun-2023 13:21
779,HSCN - Internet Outage,Closed,28-Jun-2023 13:19
780,HSCN - Internet Outage,Closed,28-Jun-2023 13:18
781,HSCN - Intermittent Outage,Closed,28-Jun-2023 13:12
782,HSCN - Degraded Connection,Closed,28-Jun-2023 11:13
783,HSCN - Internet Outage,Closed,28-Jun-2023 10:50
784,HSCN - Internet Outage,Closed,28-Jun-2023 10:44
785,HSCN - Internet Outage,Closed,28-Jun-2023 10:08
786,HSCN - Internet Outage,Closed,28-Jun-2023 10:04
787,HSCN - No connection on the C4 PC,Closed,28-Jun-2023 09:19
788,HSCN - Internet Outage,Closed,28-Jun-2023 09:03
789,HSCN - Internet Outage,Closed,28-Jun-2023 08:51
790,HSCN - Internet Outage,Closed,28-Jun-2023 08:49
791,HSCN - Internet Outage,Closed,27-Jun-2023 17:07
792,HSCN - Internet Outage,Closed,27-Jun-2023 10:47
793,HSCN - Internet Outage,Closed,27-Jun-2023 09:53
794,HSCN - Slow / Degraded Performance,Closed,27-Jun-2023 09:48
795,HSCN - Internet Outage,Closed,27-Jun-2023 09:41
796,HSCN - Slow / Degraded Performance,Closed,26-Jun-2023 15:22
797,HSCN - Internet Outage,Closed,26-Jun-2023 12:02
798,HSCN - Internet Outage,Closed,26-Jun-2023 11:40
799,HSCN - Slow / Degraded Performance - OverTemp,Closed,26-Jun-2023 11:04
800,HSCN - Intermittent Outage,Closed,26-Jun-2023 11:02
801,HSCN - Intermittent Outage,Closed,26-Jun-2023 11:01
802,HSCN - Internet Outage,Closed,26-Jun-2023 08:16
803,HSCN - Internet Outage,Closed,26-Jun-2023 08:14
804,HSCN - Intermittent Outage,Closed,26-Jun-2023 08:12
805,HSCN - Internet Outage,Closed,26-Jun-2023 08:01
806,HSCN - Internet Outage,Closed,24-Jun-2023 11:45
807,HSCN - Internet Outage,Closed,24-Jun-2023 09:19
808,HSCN - Internet Outage,Closed,23-Jun-2023 17:22
809,HSCN - Intermittent Outage,Closed,23-Jun-2023 15:57
810,HSCN - Slow / Degraded Performance,Closed,23-Jun-2023 15:11
811,HSCN - Internet Outage,Closed,23-Jun-2023 12:36
812,HSCN - Internet Outage,Closed,23-Jun-2023 10:21
813,HSCN - Internet Outage,Closed,23-Jun-2023 08:35
814,HSCN - Internet Outage,Closed,22-Jun-2023 16:59
815,HSCN - Intermittent Outage,Closed,22-Jun-2023 16:15
816,HSCN - Internet Outage,Closed,22-Jun-2023 16:13
817,HSCN - Intermittent Outage,Closed,22-Jun-2023 16:11
818,HSCN - Intermittent Outage,Closed,22-Jun-2023 16:08
819,HSCN - Intermittent Outage,Closed,22-Jun-2023 16:06
820,HSCN - Intermittent Outage,Closed,22-Jun-2023 16:05
821,HSCN - Internet Outage,Closed,22-Jun-2023 16:02
822,HSCN - Internet Outage,Closed,22-Jun-2023 15:51
823,HSCN - Intermittent Outage,Closed,22-Jun-2023 15:05
824,HSCN - Intermittent Outage,Closed,22-Jun-2023 14:19
825,HSCN - Internet Outage,Closed,22-Jun-2023 09:48
826,HSCN - Slow / Degraded Performance,Closed,22-Jun-2023 09:02
827,HSCN - Internet Outage,Closed,21-Jun-2023 15:53
828,HSCN - Intermittent Outage,Closed,21-Jun-2023 14:10
829,HSCN - Internet Outage,Closed,20-Jun-2023 17:09
830,HSCN - Intermittent Outage,Closed,20-Jun-2023 13:26
831,HSCN - Intermittent Outage,Closed,20-Jun-2023 13:19
832,HSCN - Internet Outage,Closed,20-Jun-2023 12:50
833,HSCN - Internet Outage,Closed,20-Jun-2023 12:48
834,HSCN - Intermittent Outage,Closed,20-Jun-2023 12:39
835,HSCN - Intermittent Outage,Closed,20-Jun-2023 12:38
836,HSCN - Internet Outage,Closed,20-Jun-2023 12:36
837,HSCN - Intermittent Outage,Closed,20-Jun-2023 12:33
838,HSCN - Internet Outage,Closed,20-Jun-2023 12:28
839,HSCN - Internet Outage,Closed,20-Jun-2023 12:24
840,HSCN - Internet Outage,Closed,20-Jun-2023 12:11
841,HSCN - Internet Outage,Closed,20-Jun-2023 12:10
842,HSCN - Intermittent Outage,Closed,20-Jun-2023 11:54
843,HSCN - Internet Outage,Closed,20-Jun-2023 11:52
844,HSCN - Internet Outage,Closed,20-Jun-2023 11:50
845,HSCN - Internet Outage,Closed,20-Jun-2023 11:49
846,HSCN - Internet Outage,Closed,20-Jun-2023 11:48
847,HSCN - Intermittent Outage,Closed,20-Jun-2023 11:46
848,HSCN - Internet Outage,Closed,20-Jun-2023 11:06
849,HSCN - Internet Outage,Closed,20-Jun-2023 09:59
850,HSCN - Internet Outage,Closed,20-Jun-2023 09:59
851,HSCN - Internet Outage,Closed,19-Jun-2023 11:12
852,HSCN - Slow / Degraded Performance,Closed,19-Jun-2023 11:04
853,HSCN - Intermittent Outage,Closed,19-Jun-2023 10:44
854,HSCN - Internet Outage,Closed,19-Jun-2023 10:02
855,HSCN - DSL Outage,Closed,19-Jun-2023 08:11
856,HSCN - Internet Outage,Closed,16-Jun-2023 17:09
857,HSCN - Internet Outage,Closed,16-Jun-2023 10:58
858,HSCN - Internet Outage,Closed,16-Jun-2023 10:03
859,HSCN - Internet Outage,Closed,16-Jun-2023 09:28
860,HSCN - Slow / Degraded Performance,Closed,15-Jun-2023 17:03
861,HSCN - Internet Outage,Closed,15-Jun-2023 14:42
862,HSCN - Internet Outage,Closed,15-Jun-2023 11:54
863,HSCN - Internet Outage,Closed,15-Jun-2023 11:51
864,HSCN - Slow / Degraded Performance - Temp Exceeded,Closed,15-Jun-2023 10:59
865,HSCN - Intermittent Outage,Closed,15-Jun-2023 10:51
866,HSCN - Intermittent Outage,Closed,15-Jun-2023 10:49
867,HSCN - Intermittent Outage,Closed,15-Jun-2023 10:46
868,HSCN - Intermittent Outage,Closed,15-Jun-2023 10:44
869,HSCN - Intermittent Outage,Closed,15-Jun-2023 10:42
870,HSCN - Intermittent Outage,Closed,15-Jun-2023 10:39
871,HSCN - Internet Outage,Closed,15-Jun-2023 10:27
872,HSCN - Internet Outage,Closed,15-Jun-2023 10:21
873,HSCN - Internet Outage,Closed,15-Jun-2023 10:18
874,HSCN - Internet Outage,Closed,15-Jun-2023 10:11
875,HSCN - Internet Outage,Closed,15-Jun-2023 10:08
876,HSCN - Internet Outage,Closed,15-Jun-2023 10:05
877,HSCN - Internet Outage,Closed,15-Jun-2023 10:03
878,HSCN - Internet Outage,Closed,15-Jun-2023 09:11
879,HSCN - Internet Outage,Closed,15-Jun-2023 08:54
880,HSCN - Internet Outage,Closed,14-Jun-2023 11:13
881,HSCN - Internet Outage,Closed,14-Jun-2023 11:11
882,HSCN - Internet Outage,Closed,14-Jun-2023 09:54
883,HSCN - Slow / Degraded Performance,Closed,14-Jun-2023 09:43
884,HSCN - Intermittent Outage,Closed,14-Jun-2023 09:09
885,HSCN - Internet Outage,Closed,13-Jun-2023 16:29
886,HSCN - Internet Outage,Closed,13-Jun-2023 13:06
887,HSCN - Internet Outage,Closed,13-Jun-2023 11:15
888,HSCN - Internet Outage,Closed,13-Jun-2023 10:49
889,HSCN - Internet Outage,Closed,13-Jun-2023 10:47
890,HSCN - Internet Outage,Closed,13-Jun-2023 10:43
891,HSCN - Internet Outage,Closed,13-Jun-2023 10:39
892,HSCN - Internet Outage,Closed,13-Jun-2023 10:37
893,HSCN - Internet Outage,Closed,13-Jun-2023 10:35
