,Incident Summary,State,Open Date
147,HSCN - Internet Outage,On Hold,13-Oct-2023 14:48
148,HSCN - Internet Outage,Closed,13-Oct-2023 14:45
149,HSCN - Intermittent Outage,Closed,13-Oct-2023 14:44
150,HSCN - Intermittent Outage,Closed,13-Oct-2023 14:41
151,HSCN - Intermittent Outage raised by ISP,Closed,13-Oct-2023 10:52
152,HSCN - Internet Outage raised by ISP,Closed,13-Oct-2023 10:49
153,HSCN - Internet Outage,Closed,13-Oct-2023 10:47
154,HSCN - Internet Outage raised by ISP,Closed,13-Oct-2023 10:46
155,HSCN - Intermittent Outage,Closed,13-Oct-2023 10:23
156,HSCN - Internet Outage,Closed,13-Oct-2023 08:41
157,HSCN - Intermittent Outage,On Hold,12-Oct-2023 14:30
158,HSCN - Internet Outage,Closed,12-Oct-2023 13:50
159,HSCN - Line upgrade query,Closed,12-Oct-2023 11:59
160,HSCN - Internet Outage,Closed,12-Oct-2023 08:56
161,HSCN - Intermittent Outage,Closed,12-Oct-2023 08:54
162,HSCN - Intermittent Outage,Closed,11-Oct-2023 10:22
163,HSCN - Slow / Degraded Performance,Closed,11-Oct-2023 09:55
164,HSCN - Internet Outage,Closed,11-Oct-2023 09:39
165,HSCN - Internet Outage,Closed,11-Oct-2023 09:36
166,HSCN - Internet Outage,Closed,11-Oct-2023 09:33
167,HSCN - Internet Outage,Closed,11-Oct-2023 09:32
168,HSCN - Slow / Degraded Performance,On Hold,10-Oct-2023 16:21
169,HSCN - Slow / Degraded Performance,Closed,10-Oct-2023 11:52
170,HSCN - Internet Outage,Closed,10-Oct-2023 10:32
171,HSCN - Internet Outage,Closed,10-Oct-2023 10:06
172,HSCN - Internet Outage raised by ISP,Closed,10-Oct-2023 10:04
173,HSCN - Internet Outage,Closed,10-Oct-2023 08:12
174,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 18:23
175,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 15:44
176,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 15:24
177,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 15:23
178,HSCN - Internet Outage,Closed,09-Oct-2023 15:14
179,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 14:53
180,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 11:52
181,HSCN - Intermittent Outage raised by ISP,Closed,09-Oct-2023 11:37
182,HSCN - Slow / Degraded Performance,Closed,09-Oct-2023 10:11
183,HSCN - Internet Outage,Closed,09-Oct-2023 10:07
184,HSCN - Internet Outage,Closed,09-Oct-2023 08:31
185,HSCN - Internet Outage,Closed,09-Oct-2023 08:29
186,HSCN - Internet Outage raised by ISP,Closed,07-Oct-2023 09:25
